"property1","property2.href","property2.text","property3","property4","property5","property6","index","url"
"38","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820672","Dan Higgins","Westerville,OH","257,227,279","763","1134","42","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"41","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317835158","Carl J Kinyon","Lockport,NY","224,279,259","762","1116","43","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"42","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820951","Michael Eder","Madison,IN","257,237,267","761","1108","44","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"43","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317833880","Dennis Helmick","Rio Rancho,NM","247,235,278","760","1096","45","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"43","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317822058","Eric Copping","Websterville,VT","248,246,266","760","1096","46","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"52","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317290397","Chip Aki","","279,237,240","756","N/A","47","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"45","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826543","Paul Gibson","Brunswick,OH","276,226,257","759","1081","48","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"45","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317807212","Brian Davis Sr","peoira,IL","300,257,202","759","1081","49","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317838106","Ben Canfield","San Diego,CA","225,269,264","758","1060","50","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826417","Rebecca Williamson","Colonial Heights,VA","236,256,266","758","1060","51","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817758","William Welch","Hollywood,FL","245,234,279","758","1060","52","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317805529","Jace Peterson","Ocala,Fl","258,221,279","758","1060","53","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"51","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811532","Sam Carter","Ben Lomond,CA","234,267,256","757","1043","54","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"52","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811539","John Petroff","Wauwatosa,WI","268,244,244","756","1037","55","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"53","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317824968","Mike Sagers","West Bountiful,UT","279,257,219","755","1030","56","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"54","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317801967","Dave Gajewski","Oak Creek,WI","266,240,248","754","1018","57","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"54","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317836626","Chris Kliczinski","Pinckney,MI","242,268,244","754","1018","58","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"54","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317835336","Marshal Morrison","Amarillo,TX","245,266,243","754","1018","59","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317834773","John Slavich IV","Schaumburg,IL","258,300,195","753","998","60","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820533","David Labinski","Milwaukee,WI","251,238,264","753","998","61","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317824299","Rick Thomas","Willowbrook,IL","267,246,240","753","998","62","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317818505","Mark Sleeper Jr","Rowlett,TX","187,300,266","753","998","63","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"61","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317821008","Ronald Cleveland","Saint Paul,MN","258,265,229","752","980","64","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"61","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817688","Timothy T Sowinski","Beach Park,IL","215,279,258","752","980","65","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"61","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317839817","Enrique Quinoa","Miami,FL","237,279,236","752","980","66","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317814288","Todd Savoy","Superior,WI","217,268,266","751","960","67","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317814296","Derek Eoff","Madison,WI","248,258,245","751","960","68","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317822225","Ian Parker","Rochester,NY","216,300,235","751","960","69","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317806613","Steven R Howell","Fairview,NC","235,227,289","751","960","70","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827951","Dean Richards","Tacoma,WA","227,267,257","751","960","71","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"69","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317831669","Charlie Rosset","Vernon Hills,IL","256,228,266","750","944","72","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"69","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811429","Steve Hartman","West Lafayette,IN","257,289,204","750","944","73","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"71","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317840430","Herbert Jones","Downey,CA","265,237,247","749","934","74","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"71","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317802751","Joe Lipan","Sheridan,OR","279,236,234","749","934","75","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"71","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317810082","Cassidy Schaub","Lucas,OH","231,280,238","749","934","76","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"74","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826643","Scott Osborn","San Diego,CA","255,279,214","748","918","77","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"74","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811529","Ron Case","Oakley,CA","265,224,259","748","918","78","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"74","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317810367","Tyler Selmont","Wasilla,AK","287,239,222","748","918","79","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"74","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317819272","Michael Klosin","Windham,NH","243,247,258","748","918","80","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"74","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317843608","Bryan J. Viator","Friendswood,TX","244,279,225","748","918","81","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"79","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317812974","Tammy Turner","Layton,UT","245,258,244","747","906","82","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"80","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317823770","John Meitzner","Mantorville,MN","242,234,270","746","897","83","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"80","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317806853","Tim Damerow","Waupun,WI","232,269,245","746","897","84","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"80","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317830593","Jeff Poholsky","Pittsburgh,PA","244,226,276","746","897","85","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"80","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317821213","Dave C Rice","Shaftsbury,VT","280,254,212","746","897","86","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"84","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317805667","Joe Crenshaw","Racine,WI","239,258,248","745","883","87","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"84","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317802462","Wilbur Betts","Millmont,PA","263,236,246","745","883","88","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"84","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317828827","Tom Shanower Jr","Canton,OH","290,209,246","745","883","89","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"84","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317838826","Randy R Wiemer","Columbia,MO","277,263,205","745","883","90","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"88","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317807599","Mike Lewellen","Gering,CO","229,257,258","744","874","91","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"88","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317814649","Jermey Wolfe","Watertown,WI","268,265,211","744","874","92","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"90","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317825055","Christopher Moore","Greenville,SC","247,247,249","743","860","93","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"90","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317806372","Don Dudley","Deforest,WI","236,279,228","743","860","94","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"90","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317818372","Sean Pepper","Marshall,IL","241,257,245","743","860","95","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"90","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317816608","Alex Cavagnaro","Copiague,NY","262,258,223","743","860","96","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"90","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317839627","Greg VanGundy","Canal Winchester,OH","226,248,269","743","860","97","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"90","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317845042","Connor Pickford","Charlotte,NC","257,227,259","743","860","98","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"90","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820619","Jason L Williams","Surprise,AZ","245,262,236","743","860","99","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"97","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317812957","Greg Neuer","Covina,CA","207,259,276","742","844","100","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"97","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317831816","Daniel Marazzo","Glendale Heights,IL","227,269,246","742","844","101","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"97","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317810729","Anthony LaCaze","Melrose Park,IL","224,239,279","742","844","102","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"97","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317802552","Larry Brande","Lake Worth,FL","228,246,268","742","844","103","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"101","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317800034","Curtis Odom","Coldwater,MI","246,257,238","741","824","104","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"101","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317816179","Darrell Bean","Decatur,IL","211,298,232","741","824","105","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"101","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811367","Brad Martin","Lees Summit,MO","227,289,225","741","824","106","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"101","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827091","Joseph Didion","Indianapolis,IN","226,277,238","741","824","107","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"105","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317813391","Jarret Mizo","Honolulu,HI","202,268,270","740","803","108","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"105","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317845158","Stephen M Pavlinko Jr","Sewell,NJ","259,268,213","740","803","109","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"105","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317816612","Keith Alchowiak","Webster,NY","246,266,228","740","803","110","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"108","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827752","Mike P Sheridan","Garden Grove,CA","268,257,214","739","782","111","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"108","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317810715","Jason Price","Grand Island,NE","253,258,228","739","782","112","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"108","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317804569","Terry Krawec","St. Catharines,ON","233,259,247","739","782","113","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
